,lstm_layer,f1,precision,recall,acc,best last epoch,,,d100,,d200,
d100_pretrained,,,,,,,,avg f1,pretrained,trainable,pretrained,trainable
,250,,,,,,,300,89.55,89.54,89.67,86.71
,,89.83,0.9,0.9,97.96,14,,250,89.59,89.37,89.56,89.60
,,89.83,0.9,0.9,97.96,17,,200,89.69,89.61,89.51,89.67
,,89.26,0.89,0.89,97.86,8,,170,89.58,89.51,89.49,89.57
,,89.44,0.89,0.9,97.88,13,,130,89.54,89.32,89.30,89.44
,,89.64,0.89,0.9,97.92,17,,100,89.25,89.22,89.28,89.26
,,89.53,0.89,0.9,97.87,17,,,d100,,d200,
,,89.65,0.89,0.9,97.92,11,,best f1,pretrained,trainable,pretrained,trainable
,,89.39,0.89,0.9,97.86,12,,300,90.07,90.02,90.03,90.10
,,89.73,0.89,0.9,97.94,15,,250,89.83,89.73,89.89,90.14
,200,,,,,,,200,89.94,89.91,89.90,90.10
,,89.94,0.9,0.9,97.98,14,,170,89.97,90.06,89.74,89.92
,,89.49,0.89,0.9,97.9,15,,130,89.73,89.80,89.75,89.82
,,89.85,0.9,0.9,97.96,19,,100,89.65,89.57,89.59,89.53
,,89.91,0.9,0.9,98.01,20,,,,,,
,,89.31,0.89,0.9,97.83,14,,avg stop,pretrained,trainable,pretrained,trainable
,,89.58,0.89,0.9,97.88,13,,300,12.6,12.8,14.2,14.40
,,89.78,0.9,0.9,97.94,11,,250,13.8,12.6,15.0,14.0
,,89.75,0.89,0.9,97.92,15,,200,14.9,15.6,12.5,16.6
,,89.62,0.89,0.9,97.89,15,,170,16.4,13.9,15.1,15.9
,,89.63,0.89,0.9,97.93,13,,130,17.1,15.5,13.1,15.9
,170,,,,,,,100,15.6,16.2,16.4,15.7
,,89.51,0.89,0.9,97.86,18,,,,,,
,,89.26,0.89,0.89,97.87,11,,spannweite,pretrained,trainable,pretrained,trainable
,,89.67,0.89,0.9,97.9,19,,300,1.18,1.06,1.09,0.87
,,89.97,0.9,0.9,98.03,20,,250,0.57,0.75,0.73,0.94
,,89.78,0.89,0.9,97.96,20,,200,0.63,0.75,1.06,0.58
,,89.71,0.9,0.9,97.92,14,,170,0.71,1.46,0.61,0.56
,,89.34,0.89,0.9,97.84,11,,130,0.35,0.99,0.78,0.72
,,89.68,0.89,0.9,97.9,17,,100,1.00,1.09,0.73,0.78
