,acc,precision,f1,recall,stop,best score,,avg f1,avg stopp,best f1,spannweite,varianz
d50,97.96,0.90,89.88,0.90,15,13.5,d50,89.51,11.3,89.88,0.76,0.0673
,97.86,0.89,89.38,0.90,12,9.0,d100,89.76,13.3,90.12,0.82,0.0518
,97.87,0.89,89.43,0.90,12,9.0,d200,89.48,12.1,89.84,0.87,0.0786
,97.88,0.89,89.52,0.90,15,13.5,d300,89.51,11.6,89.92,1.35,0.1538
,97.81,0.89,89.12,0.89,12,9.0,d1024,89.62,13.2,90.02,0.88,0.0614
,97.83,0.89,89.31,0.90,15,13.5,d1024 no pca,#REF!,,,,
,97.82,0.89,89.29,0.90,12,9.0,,,,,,
,97.92,0.89,89.77,0.90,15,13.5,,,,,,
,97.89,0.89,89.50,0.90,12,9.0,,,,,,
,97.95,0.90,89.88,0.90,15,13.5,,,,,,
d100,97.93,0.89,89.70,0.90,15,13.5,,,,,,
,97.97,0.90,90.12,0.90,15,13.5,,,,,,
,97.87,0.89,89.30,0.90,15,13.5,,,,,,
,97.87,0.89,89.63,0.90,15,13.5,,,,,,
,97.96,0.90,89.84,0.90,15,13.5,,,,,,
,97.93,0.89,89.64,0.90,15,13.5,,,,,,
,97.95,0.89,89.73,0.90,14,11.0,,,,,,
,97.90,0.89,89.78,0.90,15,13.5,,,,,,
,97.99,0.90,90.03,0.90,15,13.5,,,,,,
,98.01,0.90,89.86,0.90,15,13.5,,,,,,
d200,97.78,0.89,89.08,0.89,11,8.0,,,,,,
,97.92,0.89,89.59,0.90,15,13.5,,,,,,
,97.87,0.89,89.53,0.90,15,13.5,,,,,,
,97.85,0.89,89.29,0.90,14,11.0,,,,,,
,97.95,0.89,89.84,0.90,15,14.0,,,,,,
,97.92,0.89,89.64,0.90,15,15.0,,,,,,
,97.76,0.89,88.97,0.89,11,8.0,,,,,,
,97.92,0.89,89.66,0.90,15,14.0,,,,,,
,97.90,0.89,89.70,0.90,15,15.0,,,,,,
,97.92,0.89,89.50,0.90,12,9.0,,,,,,
d300,97.71,0.88,88.57,0.89,10,7.0,,,,,,
,97.98,0.90,89.87,0.90,15,13.5,,,,,,
,97.91,0.89,89.69,0.90,15,13.5,,,,,,
,97.90,0.90,89.70,0.90,15,13.5,,,,,,
,97.82,0.89,89.37,0.90,13,10.0,,,,,,
,97.88,0.89,89.41,0.90,15,12.0,,,,,,
,97.88,0.89,89.56,0.90,15,12.0,,,,,,
,97.88,0.89,89.71,0.90,15,15.0,,,,,,
,97.83,0.89,89.26,0.89,11,8.0,,,,,,
,97.94,0.90,89.92,9.00,14,11.0,,,,,,
d1024,97.82,0.89,89.14,0.89,12,9.0,,,,,,
,97.91,0.89,89.79,0.90,15,13.5,,,,,,
,97.93,0.89,89.67,0.90,15,13.5,,,,,,
,97.90,0.89,89.71,0.90,15,15.0,,,,,,
,97.93,0.89,89.67,0.90,15,12.0,,,,,,
,97.96,0.90,90.02,0.90,15,15.0,,,,,,
,97.87,0.89,89.43,0.90,15,14.0,,,,,,
,97.89,0.89,89.36,0.90,15,14.0,,,,,,
,97.89,0.89,89.62,0.90,15,13.0,,,,,,
,97.92,0.89,89.75,0.90,15,13.0,,,,,,
