,acc,precision,f1,recall,stop,best score,,avg f1,avg stop,best f1,spannweite,varianz
d50,97.57,0.87,87.63,0.88,12,9,d50,87.92,8,88.24,0.61,0.04079
,97.62,0.87,88.01,0.89,10,7,d100,87.22,6,87.69,1.05,0.11128
,97.66,0.87,87.97,0.89,16,13,d200,86.71,5,87.26,1.09,0.09123
,97.67,0.87,88.03,0.89,11,8,d300,86.32,6,86.84,1.06,0.14088
,97.61,0.87,87.70,0.89,13,10,d1024,85.65,4,86.23,1.33,0.18824
,97.72,0.88,88.24,0.89,9,6,,,,,,
,97.62,0.87,87.81,0.89,14,11,,,,,,
,97.65,0.87,88.13,0.89,8,5,,,,,,
,97.63,0.87,87.70,0.88,12,9,,,,,,
,97.68,0.88,87.99,0.88,9,6,,,,,,
d100,97.47,0.86,87.18,0.88,11,8,,,,,,
,97.53,0.86,87.00,0.88,9,6,,,,,,
,97.52,0.86,86.90,0.88,7,4,,,,,,
,97.54,0.87,87.27,0.88,10,7,,,,,,
,97.37,0.86,86.64,0.88,10,7,,,,,,
,97.63,0.87,87.69,0.88,8,5,,,,,,
,97.55,0.86,87.30,0.88,9,6,,,,,,
,97.61,0.87,87.50,0.88,7,4,,,,,,
,97.54,0.86,87.08,0.88,7,4,,,,,,
,97.62,0.87,87.65,0.88,11,8,,,,,,
d200,97.50,0.86,86.81,0.88,7,4,,,,,,
,97.40,0.85,86.17,0.87,7,4,,,,,,
,97.48,0.86,86.59,0.87,7,4,,,,,,
,97.45,0.86,86.58,0.88,10,7,,,,,,
,97.54,0.86,86.95,0.88,12,9,,,,,,
,97.47,0.86,86.39,0.87,8,5,,,,,,
,97.51,0.86,86.84,0.88,8,5,,,,,,
,97.55,0.86,87.26,0.88,7,4,,,,,,
,97.56,0.86,86.79,0.88,7,4,,,,,,
,97.53,0.86,86.76,0.88,9,6,,,,,,
d300,97.42,0.85,86.14,0.87,7,4,,,,,,
,97.42,0.86,86.60,0.87,7,4,,,,,,
,97.48,0.86,86.81,0.88,7,4,,,,,,
,97.44,0.86,86.51,0.87,13,10,,,,,,
,97.38,0.85,86.11,0.87,7,4,,,,,,
,97.50,0.86,86.84,0.87,7,4,,,,,,
,97.41,0.85,85.78,0.86,9,6,,,,,,
,97.39,0.85,85.90,0.87,13,10,,,,,,
,97.42,0.85,86.05,0.87,6,3,,,,,,
,97.41,0.86,86.48,0.87,9,6,,,,,,
d1024,97.27,0.85,85.41,0.86,7,4,,,,,,
,97.35,0.85,85.90,0.87,6,3,,,,,,
,97.24,0.84,84.90,0.86,6,3,,,,,,
,97.34,0.85,85.41,0.86,9,6,,,,,,
,97.41,0.86,86.22,0.87,6,3,,,,,,
,97.34,0.85,85.74,0.87,7,4,,,,,,
,97.28,0.84,85.16,0.86,7,4,,,,,,
,97.40,0.86,86.23,0.87,6,3,,,,,,
,97.36,0.85,85.67,0.86,6,3,,,,,,
,97.33,0.85,85.86,0.87,6,3,,,,,,
