,acc,precision,f1,recall,stop,best score,,avg f1,avg stop,best f1,spannweite,varianz
d50,97.89,0.89,89.31,0.90,12,9.0,d50,89.52,11.8,90.08,0.99,0.0821
,97.93,0.89,89.81,0.90,16,13.0,d100,89.55,12.6,90.07,1.18,0.1432
,97.82,0.89,89.40,0.90,16,13.0,d200,89.67,14.2,90.03,1.09,0.1037
,97.88,0.89,89.50,0.90,13,10.0,d300,89.48,11.7,89.85,0.83,0.0808
,97.93,0.89,89.73,0.90,17,14.0,d1024,89.53,12.1,16.0,8.0,6.7667
,97.85,0.89,89.32,0.90,17,14.0,d1024 no pca,88.38,12.1,88.81,1.05,0.0796
,97.82,0.89,89.09,0.89,11,8.0,,,,,,
,97.89,0.89,89.42,0.90,18,15.0,,,,,,
,97.99,0.90,90.08,0.90,14,11.0,,,,,,
,97.86,0.89,89.58,0.90,14,11.0,,,,,,
d100,97.76,0.89,89.01,0.89,10,7.0,,,,,,
,97.92,0.89,89.72,0.90,19,16.0,,,,,,
,97.96,0.90,90.05,0.90,20,18.5,,,,,,
,97.89,0.89,89.50,0.90,13,10.0,,,,,,
,97.87,0.89,89.55,0.90,13,10.0,,,,,,
,97.98,0.89,89.63,0.90,14,11.0,,,,,,
,97.89,0.89,89.49,0.90,20,18.5,,,,,,
,97.88,0.89,89.55,0.90,16,13.0,,,,,,
,97.75,0.88,88.89,0.89,10,7.0,,,,,,
,97.97,0.90,90.07,0.90,18,15.0,,,,,,
d200,97.83,0.89,88.94,0.89,17,14.0,,,,,,
,97.96,0.90,90.03,0.90,17,14.0,,,,,,
,97.92,0.90,89.82,0.90,19,16.0,,,,,,
,97.92,0.89,89.77,0.90,20,19.0,,,,,,
,97.96,0.89,89.87,0.90,14,11.0,,,,,,
,97.91,0.89,89.64,0.90,14,11.0,,,,,,
,97.91,0.90,89.83,0.90,15,12.0,,,,,,
,97.83,0.89,89.28,0.90,13,10.0,,,,,,
,97.94,0.89,89.72,0.90,20,18.5,,,,,,
,97.96,0.90,89.80,0.90,19,16.0,,,,,,
d300,97.90,0.90,89.85,0.90,18,15.0,,,,,,
,97.91,0.89,89.55,0.90,14,11.0,,,,,,
,97.84,0.89,89.14,0.89,11,8.0,,,,,,
,97.79,0.89,89.34,0.89,15,12.0,,,,,,
,97.98,0.89,89.82,0.90,19,16.0,,,,,,
,97.86,0.89,89.42,0.90,17,14.0,,,,,,
,97.90,0.89,89.74,0.90,17,14.0,,,,,,
,97.89,0.89,89.62,0.90,15,12.0,,,,,,
,97.87,0.89,89.30,0.90,12,9.0,,,,,,
,97.84,0.89,89.02,0.89,9,6.0,,,,,,
d1024,97.94,0.89,89.62,0.90,16,13.0,,,,,,
,97.95,0.90,89.73,0.90,16,13.0,,,,,,
,97.93,0.89,89.90,0.90,19,16.0,,,,,,
,97.90,0.89,89.52,0.90,19,16.0,,,,,,
,97.78,0.89,89.04,0.90,15,12.0,,,,,,
,97.83,0.89,89.52,0.90,14,11.0,,,,,,
,97.91,0.89,89.42,0.90,11,8.0,,,,,,
,97.86,0.89,89.53,0.90,15,12.0,,,,,,
,97.88,0.89,89.58,0.90,14,11.0,,,,,,
,97.88,0.89,89.44,0.90,12,9.0,,,,,,
d1024 no pca,97.82,0.89,88.81,0.89,18,15.0,,,,,,
,97.72,0.88,88.42,0.89,14,11.0,,,,,,
,97.76,0.88,88.38,0.89,13,10.0,,,,,,
,97.73,0.88,88.44,0.89,20,18.5,,,,,,
,97.80,0.88,88.56,0.89,20,18.5,,,,,,
,97.80,0.88,88.48,0.89,12,9.0,,,,,,
,97.60,0.87,87.76,0.88,10,7.0,,,,,,
,97.73,0.88,88.32,0.89,15,12.0,,,,,,
,97.74,0.88,88.49,0.89,14,11.0,,,,,,
,97.69,0.88,88.09,0.88,12,9.0,,,,,,
