,acc,precision,f1,recall,stop,best score,,avg f1,avg stop,best f1,spannweite,varianz
d50,97.87,0.89,89.44,0.90,17,18.5,d50,89.63,13.6,90.64,1.46,0.1750
,97.96,0.90,89.94,0.90,19,16.0,d100,89.54,12.8,90.02,1.06,0.1300
,97.88,0.89,89.61,0.90,15,12.0,d200,89.58,14.4,90.10,0.87,0.0660
,97.84,0.89,89.67,0.90,19,16.0,d300,89.55,12.1,90.02,0.95,0.1431
,97.84,0.89,89.18,0.90,12,9.0,d1024,89.47,11.8,89.81,0.85,0.0583
,97.82,0.89,89.36,0.90,11,8.0,d1024 no pca,87.26,9.4,87.86,1.12,0.1416
,97.90,0.89,89.61,0.90,17,14.0,,,,,,
,97.84,0.89,89.26,0.90,16,13.0,,,,,,
,97.89,0.90,90.64,0.90,16,13.0,,,,,,
,97.89,0.89,89.54,0.90,19,16.0,,,,,,
d100,97.88,0.89,89.61,0.90,18,15.0,,,,,,
,97.96,0.90,89.84,0.90,20,18.5,,,,,,
,97.92,0.89,89.53,0.90,14,11.0,,,,,,
,97.79,0.89,88.96,0.89,12,9.0,,,,,,
,97.99,0.90,89.93,0.90,18,15.0,,,,,,
,97.76,0.89,89.13,0.90,11,8.0,,,,,,
,97.85,0.89,89.13,0.89,12,9.0,,,,,,
,97.94,0.89,89.68,0.90,14,11.0,,,,,,
,97.87,0.89,89.56,0.90,16,13.0,,,,,,
,97.96,0.90,90.02,0.90,20,18.5,,,,,,
d200,97.86,0.89,89.39,0.90,15,12.0,,,,,,
,97.84,0.89,89.47,0.90,17,14.0,,,,,,
,97.90,0.89,89.58,0.90,16,13.0,,,,,,
,97.93,0.89,89.73,0.90,20,18.0,,,,,,
,97.97,0.90,90.10,0.91,18,15.0,,,,,,
,97.93,0.89,89.81,0.90,20,18.0,,,,,,
,97.78,0.89,89.23,0.90,13,10.0,,,,,,
,97.87,0.89,89.45,0.90,18,15.0,,,,,,
,97.87,0.89,89.36,0.90,16,13.0,,,,,,
,97.93,0.89,89.69,0.90,19,16.0,,,,,,
d300,97.84,0.89,89.22,0.90,13,10.0,,,,,,
,97.96,0.89,89.60,0.90,16,13.0,,,,,,
,97.90,0.89,89.66,0.90,15,12.0,,,,,,
,97.84,0.89,89.11,0.90,11,8.0,,,,,,
,97.99,0.90,89.90,0.90,20,17.0,,,,,,
,97.97,0.90,89.91,0.90,17,14.0,,,,,,
,97.79,0.89,89.07,0.90,13,10.0,,,,,,
,98.01,0.90,90.02,0.90,20,20.0,,,,,,
,97.86,0.89,89.16,0.89,9,6.0,,,,,,
,97.97,0.90,89.89,0.90,14,11.0,,,,,,
d1024,97.82,0.89,89.38,0.90,14,11.0,,,,,,
,97.80,0.89,89.30,0.90,14,11.0,,,,,,
,97.93,0.89,89.46,0.90,14,11.0,,,,,,
,97.94,0.89,89.81,0.90,16,13.0,,,,,,
,97.91,0.89,89.55,0.90,13,10.0,,,,,,
,97.92,0.89,89.41,0.90,18,15.0,,,,,,
,97.92,0.89,89.68,0.90,16,13.0,,,,,,
,97.87,0.89,89.46,0.90,12,9.0,,,,,,
,97.93,0.89,89.71,0.90,18,15.0,,,,,,
,97.78,0.89,88.96,0.89,13,10.0,,,,,,
d1024 no pca,97.45,0.87,86.74,0.87,8,5.0,,,,,,
,97.47,0.86,86.86,0.87,9,6.0,,,,,,
,97.61,0.87,87.39,0.88,9,6.0,,,,,,
,97.67,0.87,87.60,0.88,16,13.0,,,,,,
,97.54,0.87,87.35,0.88,20,17.0,,,,,,
,97.56,0.87,86.97,0.87,11,8.0,,,,,,
,97.47,0.86,86.86,0.87,8,5.0,,,,,,
,97.66,0.87,87.86,0.88,16,13.0,,,,,,
,97.61,0.87,87.56,0.88,17,14.0,,,,,,
,97.53,0.87,87.36,0.88,10,7.0,,,,,,
